,Apple,IBM,Microsoft,Google,Amazon,Tesla,Nvidia,Walmart,Johnson & Johnson,Verizon,AT&T,Pfizer
2014-04-01,16.9616,117.8161,34.8224,28.3382,17.175,14.528,0.4432,20.5797,72.2328,27.4255,93.3438,19.5632
2014-04-02,16.9926,117.0296,34.7972,28.3282,17.05,15.4727,0.4389,20.6278,72.4837,27.4484,93.5252,19.5877
2014-04-03,16.8843,116.2855,34.461,28.487,16.675,15.0153,0.4439,20.7267,72.4985,27.5919,93.047,19.8509
2014-04-04,16.6714,116.1524,33.5364,27.2281,16.1025,14.0867,0.4299,20.7587,72.6755,27.5575,91.7279,19.8264
2014-04-07,16.414,117.6588,33.4524,26.9445,15.8875,13.8593,0.4314,20.6625,72.5206,27.6493,91.8351,19.1286
2014-04-08,16.3899,117.0478,33.4692,27.8153,16.35,14.3327,0.4468,20.8737,72.4468,27.9765,90.1367,18.945
2014-04-09,16.6169,118.9595,34.0323,28.2383,16.5875,14.5033,0.4468,20.8389,73.0076,27.8488,88.9083,19.1164
2014-04-10,16.3429,118.3969,33.0742,27.2326,15.8445,13.546,0.4359,20.5503,71.377,27.5065,84.7448,18.7369
2014-04-11,16.2788,117.9673,33.0237,26.8201,15.6005,13.6067,0.4292,20.4247,71.5614,27.3266,86.6823,18.3206
2014-04-14,16.3335,119.516,32.9649,27.154,15.8,13.2233,0.434,20.6117,71.7533,27.5065,88.4796,18.3084
2014-04-15,16.2174,119.2015,33.5953,27.5167,15.9195,13.0127,0.4371,20.5556,73.3691,27.2337,88.4219,18.3574
2014-04-16,16.1707,113.8536,33.7886,27.1037,16.0115,13.1333,0.438,20.6305,72.7493,27.3091,89.4277,18.3941
2014-04-17,16.4369,115.0635,33.6541,27.1679,16.225,13.2,0.4396,20.7507,73.1699,27.6225,89.0567,18.5043
2014-04-21,16.6404,116.3037,33.6121,26.8385,16.6,13.6933,0.4432,20.74,73.8044,27.8372,89.5679,18.9144
2014-04-22,16.6419,116.2553,33.5785,27.1436,16.4375,14.5073,0.4491,20.7293,73.9151,27.7386,89.3865,18.9756
